11514,0.17,3039,"92050","NANTERRE","0511","920500511","Ravel Liberte Vallona","H",,"920500511",403.7805,505.4594,482.8978,398.5986,178.7741,84.9420,2054.4525
11538,0.36,3113,"92050","NANTERRE","0605","920500605","Les Groues-Préfecture","H",,"920500605",242.8361,334.5166,293.0611,215.4766,135.1874,77.7354,1298.8133
11576,0.38,3120,"92050","NANTERRE","0701","920500701","Hopital","H",,"920500701",341.3769,326.6028,470.4211,490.5825,330.9828,266.6406,2226.6067
11621,0.20,3016,"92050","NANTERRE","0704","920500704","Paquerettes Ouest","H",,"920500704",669.0643,559.9861,601.7382,417.2915,162.2117,28.8503,2439.1420
11641,0.03,2951,"92050","NANTERRE","0703","920500703","Paquerettes Est","H",,"920500703",772.5304,486.7788,671.8313,327.4606,87.3232,86.3124,2432.2367
11657,0.03,3025,"92050","NANTERRE","0702","920500702","Canibouts","H",,"920500702",464.1044,394.8381,333.6856,376.1595,310.5631,103.0470,1982.3977
11682,0.05,3313,"92025","COLOMBES","0402","920250402","Canibouts-Champy","H","1","920250402",652.9815,599.1777,539.9226,516.6194,233.4717,98.6060,2640.7789
11710,0.03,3451,"92062","PUTEAUX","0202","920620202","Bergere Nord","H","1","920620202",507.2117,457.3395,638.9428,529.9402,259.1837,147.5929,2540.2108
11732,0.04,2990,"92026","COURBEVOIE","0405","920260405","Etudiants","H",,"920260405",662.5023,897.0005,1033.5097,278.3204,59.5010,92.6550,3023.4890
8470,0.09,3108,"92050","NANTERRE","0302","920500302","Goulvents","H",,"920500302",517.8648,702.5761,644.3316,521.4983,240.2207,93.7494,2720.2409
8493,0.10,2989,"92050","NANTERRE","0301","920500301","Lenine Joffre","H",,"920500301",450.0653,335.5123,637.2340,467.8816,419.8869,126.3133,2436.8934
8515,0.10,2978,"92050","NANTERRE","0203","920500203","Saint-Cloud","H",,"920500203",441.8317,555.6776,504.2032,622.5744,249.9793,113.7544,2488.0207
8536,0.13,3103,"92050","NANTERRE","0206","920500206","Suisses Boule","H",,"920500206",365.7986,450.8480,497.3205,382.8764,193.5212,142.4126,2032.7774
8559,0.08,3028,"92050","NANTERRE","0408","920500408","Joliot Boule","H",,"920500408",403.1585,521.9971,463.5230,457.1485,173.5939,77.3238,2096.7449
8580,0.16,3048,"92050","NANTERRE","0204","920500204","Garches","H",,"920500204",391.2512,377.6110,402.0547,503.8698,190.0728,160.6948,2025.5542
8598,0.04,3005,"92050","NANTERRE","0205","920500205","Damades La Source","H",,"920500205",346.6495,473.5280,412.0976,495.1746,157.8189,65.4417,1950.7103
8616,0.10,2969,"92050","NANTERRE","0101","920500101","Chenevreux","H",,"920500101",444.4789,522.1236,479.5567,358.2346,262.7754,110.6018,2177.7710
8637,0.18,2953,"92050","NANTERRE","0509","920500509","Champs Pierreux","H",,"920500509",704.5931,583.0202,675.7919,426.8890,77.1341,3.5856,2471.0139
8658,0.18,3097,"92050","NANTERRE","0103","920500103","Haut Plateau","H",,"920500103",642.8718,574.8512,828.5270,587.8180,268.6478,194.9683,3097.6840
8677,0.06,3071,"92050","NANTERRE","0102","920500102","Clemenceau","H",,"920500102",321.3013,470.2454,510.4745,391.3097,203.5700,102.5490,1999.4500
8699,0.04,3044,"92050","NANTERRE","0505","920500505","Champs aux Melles","H",,"920500505",645.7326,471.7267,551.1860,450.6047,223.2907,96.5581,2439.0988
8716,0.04,2979,"92050","NANTERRE","0504","920500504","Fontenelles Gallois","H",,"920500504",445.5043,458.3609,346.6022,292.5396,180.3273,59.8362,1783.1705
8734,0.04,2942,"92050","NANTERRE","0503","920500503","Fontenelles Decour","H",,"920500503",562.8428,552.6665,548.9731,446.0053,231.6399,147.4918,2489.6193
8758,0.03,3012,"92050","NANTERRE","0502","920500502","Demoiselles d'Avignon","H",,"920500502",1191.0628,977.0322,942.7436,730.9584,242.8891,84.6711,4169.3574
8776,0.50,2998,"92050","NANTERRE","0804","920500804","Acacias Ouest","H",,"920500804",620.2798,552.8200,626.4816,504.6449,229.2638,91.3516,2624.8417
8813,0.08,3085,"92050","NANTERRE","0303","920500303","Langevin","H",,"920500303",412.0338,442.5534,425.4496,424.4111,194.8384,139.1441,2038.4302
8836,0.07,2994,"92050","NANTERRE","0401","920500401","Gare","H",,"920500401",416.4049,482.2979,521.0071,411.4821,143.4517,207.1607,2181.8043
8855,0.06,3034,"92050","NANTERRE","0803","920500803","Zilina Henri Martin","H",,"920500803",411.7716,342.6388,474.8557,366.0908,203.1140,129.7060,1928.1769
8870,0.09,2983,"92050","NANTERRE","0805","920500805","Acacias Est","H",,"920500805",401.4498,368.4323,410.8572,293.1941,681.2541,34.1543,2189.3418
8885,0.06,2965,"92050","NANTERRE","0406","920500406","Cathedrale","H",,"920500406",391.6006,515.1751,641.6007,293.1831,168.2731,143.5134,2153.3462
8903,0.24,2968,"92050","NANTERRE","0802","920500802","Komarov","H",,"920500802",612.1085,565.2599,611.3544,461.8052,202.6379,114.4952,2567.6612
8925,0.16,2988,"92050","NANTERRE","0403","920500403","Barbet","H",,"920500403",449.2959,396.9090,476.3913,518.2612,304.7905,234.3141,2379.9621
8947,0.04,3022,"92050","NANTERRE","0407","920500407","Hotel de Ville","H",,"920500407",320.6783,311.0609,298.7566,388.1739,305.9140,185.2059,1809.7896
8964,0.05,2985,"92050","NANTERRE","0606","920500606","Berthelot Sud et Nord","H",,"920500606",719.6309,787.7317,855.0366,569.5762,210.4849,132.1859,3274.6463
8982,0.10,2946,"92050","NANTERRE","0801","920500801","Pathelot Rouget de l'Isle","H",,"920500801",727.3424,848.6135,1017.3313,365.3646,150.7260,40.1989,3149.5768
9001,0.35,3020,"92050","NANTERRE","0607","920500607","Universite Groues","H",,"920500607",108.6592,1769.1315,555.6347,91.6074,17.2434,2.7275,2545.0037
9040,0.06,3019,"92050","NANTERRE","0601","920500601","Anatole France","H",,"920500601",447.8163,481.1612,521.2359,239.9901,43.5317,22.5661,1756.3013
