Code INSEE;99-ens;99-cat1;99-cat2;99-cat3;99-cat4;99-cat5;99-cat6;99-cat7;99-cat8
92050;66099;4;1272;5647;9247;16103;8942;9318;15566
92050;70425;7;1495;8584;10578;15907;7416;11437;15002
